,imdb_title_id,title,original_title,year,date_published,genre,duration,country,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,lead_director,lead_writer
68327,tt2676710,616: Paranormal Incident,616: Paranormal Incident,2013,2013-02-12,Horror,90,USA,2.8,522,50000,2.8,522,3.3,2.0,2.7,Thomas Downey,David Chirchirillo,Thomas Downey
68340,tt2689354,Call Girl of Cthulhu,Call Girl of Cthulhu,2014,2015-09-15,"Comedy, Horror",92,USA,4.6,633,0,4.6,633,4.9,5.0,5.2,David Phillip Carollo,Chris LaMartina,David Phillip Carollo
68341,tt2689958,Big Sky,Big Sky,2015,2015-08-14,"Drama, Thriller",90,USA,4.4,1355,0,4.4,1355,4.6,5.0,4.6,Bella Thorne,Jorge Michel Grau,Bella Thorne
68343,tt2690160,Poseidon Rex,Poseidon Rex,2013,2014-04-18,"Action, Adventure, Comedy",81,USA,2.5,1219,0,2.5,1219,3.0,2.0,2.7,Brian Krause,Mark L. Lester,Brian Krause
68346,tt2690560,Reality Show,Reality Show,2015,2015-08-04,"Comedy, Drama",95,USA,6.0,124,250000,6.0,124,6.2,6.0,6.1,Adam Rifkin,Adam Rifkin,Adam Rifkin
68348,tt2690634,The Bad Guys,The Bad Guys,2018,2018-02-16,"Comedy, Drama",90,USA,6.2,782,0,6.2,782,7.5,8.0,5.9,Glen Powell,Carlos Rincones,Glen Powell
68355,tt2691554,Bath Salt Zombies,Bath Salt Zombies,2013,2013-02-19,Horror,70,USA,3.0,320,5000,3.0,320,3.8,3.0,2.9,Brandon Salkil,Dustin Mills,Brandon Salkil
68364,tt2693580,Miss Stevens,Miss Stevens,2016,2016-09-20,"Comedy, Drama",86,USA,6.6,5076,0,6.6,5076,6.8,7.0,6.6,Lily Rabe,Julia Hart,Lily Rabe
68371,tt2699466,A Fighting Season,A Fighting Season,2015,2017-05-26,"Drama, News, War",82,USA,6.4,105,1200000,6.4,105,7.1,7.0,7.5,Clayne Crawford,Oden Roberts,Clayne Crawford
68379,tt2701778,Il piano di Claire,Other Plans,2014,2014,Comedy,88,USA,4.4,151,600000,4.4,151,4.7,5.0,4.2,Jamie Kennedy,Joe Eckardt,Jamie Kennedy
68380,tt2702724,The Boss,The Boss,2016,2016-06-16,Comedy,99,USA,5.4,42072,29000000,5.4,42072,5.5,6.0,5.8,Melissa McCarthy,Ben Falcone,Melissa McCarthy
68382,tt2704998,Game Night - Indovina chi muore stasera?,Game Night,2018,2018-05-01,"Action, Comedy, Crime",100,USA,6.9,198350,37000000,6.9,198350,7.0,7.0,7.0,Jason Bateman,John Francis Daley,Jason Bateman
68387,tt2707804,Lily,Lily,2013,2014-12-12,Drama,85,USA,5.9,110,0,5.9,110,6.0,6.0,6.0,Amy Grantham,Matt Creed,Amy Grantham
68388,tt2707810,Submission,Submission,2017,2019-09-19,"Drama, Mystery",106,USA,5.6,1082,0,5.6,1082,5.7,6.0,5.4,Stanley Tucci,Richard Levine,Stanley Tucci
68391,tt2708254,Life of a King,Life of a King,2013,2013-06-22,Drama,100,USA,6.9,6073,0,6.9,6073,7.1,7.0,7.2,Cuba Gooding Jr.,Jake Goldberger,Cuba Gooding Jr.
68392,tt2708306,Sledge,Sledge,2014,2014-09-02,Horror,75,USA,3.2,108,0,3.2,108,4.4,4.0,4.5,Rob Altomari,John B Sovie II,Rob Altomari
68401,tt2709716,Antidote,Antidote,2013,2014-12-02,"Drama, Horror, Thriller",80,USA,3.4,127,100000,3.4,127,4.1,3.0,4.9,Kate Flanagan,Craig DiFolco,Kate Flanagan
68405,tt2709962,Cecil,Cecil,2019,2019-01-22,"Comedy, Family",80,USA,3.8,131,0,3.8,131,6.3,7.0,3.7,Jason London,Spenser Fritz,Jason London
68413,tt2712758,Displacement,Displacement,2016,2017-04-28,"Sci-Fi, Thriller",112,USA,4.4,373,0,4.4,373,5.1,5.0,4.7,Courtney Hope,Kenneth Mader,Courtney Hope
68417,tt2713642,Jersey Shore Massacre,Jersey Shore Massacre,2014,2014-08-22,"Comedy, Horror",88,USA,2.8,1125,1400000,2.8,1125,3.4,3.0,2.9,Danielle Dallacco,Paul Tarnopol,Danielle Dallacco
68418,tt2714380,The Remaining - Il giorno è giunto,The Remaining,2014,2014-09-24,"Drama, Horror, Mystery",88,USA,4.3,6588,0,4.3,6588,4.7,4.0,4.7,Johnny Pacar,Casey La Scala,Johnny Pacar
68419,tt2714410,The Historian,The Historian,2014,2014-11-07,Drama,124,USA,4.9,284,0,4.9,284,4.8,5.0,4.3,William Sadler,Miles Doleac,William Sadler
68425,tt2716062,The Giant Spider,The Giant Spider,2013,2013-05-01,"Horror, Sci-Fi",71,USA,5.3,222,7500,5.3,222,5.9,6.0,5.9,Shannon McDonough,Christopher R. Mihm,Shannon McDonough
68434,tt2717682,Turner Risk,Turner Risk,2019,2019-11-23,"Drama, Thriller",112,USA,4.9,232,0,4.9,232,6.9,7.0,5.7,Nick Fink,Michael Dailey,Nick Fink
68435,tt2717822,Blackhat,Blackhat,2015,2015-03-12,"Action, Crime, Thriller",133,USA,5.4,51219,70000000,5.4,51219,5.4,5.0,5.2,Chris Hemsworth,Michael Mann,Chris Hemsworth
68438,tt2718314,Dark Awakening,Dark Awakening,2014,2015-07-17,"Horror, Mystery, Thriller",95,USA,4.2,295,0,4.2,295,4.6,4.0,5.0,Lance Henriksen,Dean Jones,Lance Henriksen
68447,tt2719796,Hot Guys with Guns,Hot Guys with Guns,2013,2014-04-07,"Action, Comedy, Romance",105,USA,5.6,304,200000,5.6,304,6.1,6.0,6.1,Marc Anthony Samuel,Doug Spearman,Marc Anthony Samuel
68449,tt2719868,Last Summer,Last Summer,2013,2013-07-13,"Drama, Romance",73,USA,5.6,821,0,5.6,821,6.0,6.0,4.8,Deb Lewis,Mark Thiedeman,Deb Lewis
68454,tt2721152,P-51 Dragon Fighter,P-51 Dragon Fighter,2014,2014-08-19,"Action, Fantasy, Sci-Fi",85,USA,2.8,586,0,2.8,586,3.3,3.0,2.8,Scott Martin,Mark Atkins,Scott Martin
68455,tt2721624,What Separates Us,What Separates Us,2017,2017-10-22,"Drama, Romance",90,USA,5.1,163,370000,5.1,163,5.8,6.0,4.7,Jordyn Auvil,Bryan Ferriter,Jordyn Auvil
68463,tt2724236,Tell,Tell,2014,2014-12-04,"Action, Crime, Drama",89,USA,5.6,1618,0,5.6,1618,5.6,6.0,5.8,Milo Ventimiglia,J.M.R. Luna,Milo Ventimiglia
68469,tt2726552,Vicolo cieco,A Kind of Murder,2016,2016-12-16,"Crime, Drama, Mystery",95,USA,5.3,6719,0,5.3,6719,5.3,5.0,5.2,Patrick Wilson,Andy Goddard,Patrick Wilson
68470,tt2726560,La risposta è nelle stelle,The Longest Ride,2015,2015-04-09,"Drama, Romance",123,USA,7.1,75070,34000000,7.1,75070,7.4,7.0,7.3,Britt Robertson,George Tillman Jr.,Britt Robertson
68479,tt2729818,Southern Baptist Sissies,Southern Baptist Sissies,2013,2013-11-18,Drama,138,USA,6.6,255,0,6.6,255,7.2,8.0,7.5,Emerson Collins,Del Shores,Emerson Collins
68482,tt2731970,2 Bedroom 1 Bath,2 Bedroom 1 Bath,2014,2014-09-05,"Horror, Mystery, Thriller",91,USA,3.7,315,0,3.7,315,4.6,4.0,3.6,Marcela Macias,Stanley Yung,Marcela Macias
68484,tt2732210,Tumbledown,Tumbledown,2013,2013-09-27,"Drama, Mystery, Romance",80,USA,4.2,182,0,4.2,182,4.4,4.0,3.5,Brad Hallowell,Todd Verow,Brad Hallowell
68487,tt2734110,Ghostline,Ghostline,2015,2015-10-06,"Drama, Horror, Mystery",85,USA,3.2,124,0,3.2,124,3.7,3.0,3.6,Rachel Alig,Dean Whitney,Rachel Alig
