,imdb_title_id,title,original_title,year,date_published,genre,duration,country,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,lead_director,lead_writer
30631,tt0119231,The Junior Defenders,The Junior Defenders,2007,2007-10-23,Comedy,83,USA,4.3,140,125000,4.3,140,5.5,5.0,5.0,Ally Sheedy,Keith Spiegel,Ally Sheedy
32436,tt0136517,Seven Days of Grace,Seven Days of Grace,2006,2006-04-01,"Comedy, Drama",88,USA,4.4,101,0,4.4,101,4.6,5.0,4.7,Stephanie Beacham,Don E. FauntLeRoy,Stephanie Beacham
35809,tt0197633,Live Freaky Die Freaky,Live Freaky Die Freaky,2006,2006-07-08,"Animation, Comedy, Musical",75,USA,5.0,624,0,5.0,624,5.9,6.0,6.0,Nick 13,John Roecker,Nick 13
36230,tt0204250,Death of a Saleswoman,Death of a Saleswoman,2006,2010-02-22,"Comedy, Mystery",77,USA,1.6,350,0,1.6,350,2.3,1.0,1.8,Cynthia Mann,Donna Wheeler,Cynthia Mann
36606,tt0211933,Awake - Anestesia cosciente,Awake,2007,2008-11-14,"Crime, Drama, Mystery",84,USA,6.5,71829,8600000,6.5,71829,6.7,7.0,6.7,Hayden Christensen,Joby Harold,Hayden Christensen
37232,tt0227671,Tortilla Heaven,Tortilla Heaven,2007,2008-10-14,Comedy,98,USA,5.3,387,0,5.3,387,5.9,6.0,5.8,José Zúñiga,Judy Hecht Dumontet,José Zúñiga
38237,tt0249516,Foodfight!,Foodfight!,2011,2013-02-12,"Animation, Action, Adventure",91,USA,1.5,9183,65000000,1.5,9183,3.9,1.0,2.1,Charlie Sheen,Lawrence Kasanoff,Charlie Sheen
38367,tt0251951,Pretty Cool,Pretty Cool,2006,2006-11-24,"Comedy, Sci-Fi",92,USA,4.1,450,0,4.1,450,4.7,4.0,3.8,Will Burke,Rolfe Kanefsky,Will Burke
38617,tt0255820,Return to Babylon,Return to Babylon,2013,2013-08-11,"Biography, Comedy, Drama",75,USA,5.9,144,2000000,5.9,144,6.1,7.0,5.2,Jennifer Tilly,Alex Monty Canawati,Jennifer Tilly
38777,tt0259822,.45,.45,2006,2006-11-30,"Crime, Drama, Thriller",101,USA,5.6,7967,5000000,5.6,7967,5.9,6.0,5.9,Milla Jovovich,Gary Lennon,Milla Jovovich
39157,tt0266732,Love Is the Drug,Love Is the Drug,2006,2006-01-01,Drama,96,USA,5.5,676,0,5.5,676,6.3,6.0,5.6,John Patrick Amedori,Elliott Lester,John Patrick Amedori
39336,tt0270417,How to Go Out on a Date in Queens,How to Go Out on a Date in Queens,2006,2006-07-28,"Comedy, Romance",90,USA,4.3,371,0,4.3,371,5.0,5.0,4.5,Jason Alexander,Michelle Danner,Jason Alexander
39610,tt0275236,The Bros.,The Bros.,2007,2007-02-20,"Comedy, Music",91,USA,3.2,229,0,3.2,229,4.4,3.0,3.9,John Tindall,Jonathan Figg,John Tindall
39846,tt0279688,Beyond the Wall of Sleep,Beyond the Wall of Sleep,2006,2006-06-06,Horror,84,USA,2.8,1047,0,2.8,1047,3.6,2.0,2.8,George Peroulas,Barrett J. Leigh,George Peroulas
40116,tt0283503,Brooklyn Rules,Brooklyn Rules,2007,2009-05-28,"Crime, Drama",99,USA,6.3,5441,8000000,6.3,5441,6.5,7.0,6.1,Paulo Araujo,Michael Corrente,Paulo Araujo
40227,tt0285252,Life's a Beach,Life's a Beach,2012,2012-05-22,Comedy,100,USA,3.7,226,4000000,3.7,226,4.6,4.0,4.2,Darren Geare,Tony Vitale,Darren Geare
40346,tt0287072,Under Surveillance,Under Surveillance,2006,2006,"Horror, Mystery, Thriller",89,USA,4.2,141,31000,4.2,141,5.7,6.0,5.4,Eric Conley,Dave Campfield,Eric Conley
40695,tt0292963,Onora il padre e la madre,Before the Devil Knows You're Dead,2007,2008-03-14,"Crime, Drama, Thriller",117,USA,7.3,94917,18000000,7.3,94917,7.3,7.0,7.0,Philip Seymour Hoffman,Sidney Lumet,Philip Seymour Hoffman
41171,tt0302498,Raising Flagg,Raising Flagg,2006,2008-04-25,Comedy,103,USA,5.4,316,0,5.4,316,5.7,6.0,6.9,Alan Arkin,Neal Miller,Alan Arkin
41371,tt0306947,Along the Way,Along the Way,2007,2007-10-01,Drama,111,USA,5.9,279,1200000,5.9,279,7.9,9.0,4.8,Briel DiCristofaro,Andrew Bowen,Briel DiCristofaro
41421,tt0308055,Bobby,Bobby,2006,2007-01-19,"Biography, Drama, History",117,USA,7.0,40767,14000000,7.0,40767,7.1,7.0,7.1,Harry Belafonte,Emilio Estevez,Harry Belafonte
41599,tt0312305,Quantum Quest: A Cassini Space Odyssey,Quantum Quest: A Cassini Space Odyssey,2010,2012-12-02,"Animation, Adventure, Sci-Fi",45,USA,5.1,320,20000000,5.1,320,5.9,6.0,5.3,Chris Pine,Harry 'Doc' Kloor,Chris Pine
41818,tt0317219,Cars - Motori ruggenti,Cars,2006,2006-08-23,"Animation, Comedy, Family",117,USA,7.1,357920,120000000,7.1,357920,7.3,7.0,7.1,Owen Wilson,John Lasseter,Owen Wilson
41904,tt0319115,Brothel,Brothel,2008,2008-02-27,"Drama, Horror",96,USA,4.1,224,0,4.1,224,5.0,4.0,4.8,Serena Scott Thomas,Amy Waddell,Serena Scott Thomas
41991,tt0321858,30 Days,30 Days,2006,2006-10-03,"Drama, Sport",93,USA,4.4,158,0,4.4,158,4.9,5.0,4.8,Da Brat,Jamal Joseph,Da Brat
42045,tt0323120,Loving Annabelle,Loving Annabelle,2006,2007-05-24,"Drama, Romance",77,USA,6.3,11733,1000000,6.3,11733,7.0,7.0,6.6,Erin Kelly,Katherine Brooks,Erin Kelly
42166,tt0326716,'77,'77,2017,2017-05-25,"Comedy, Drama",113,USA,6.1,304,0,6.1,304,7.3,8.5,6.0,John Francis Daley,Patrick Read Johnson,John Francis Daley
42183,tt0326965,In My Sleep,In My Sleep,2010,2010-04-23,"Drama, Mystery, Thriller",104,USA,5.5,1952,1000000,5.5,1952,5.8,6.0,5.6,Philip Winchester,Allen Wolf,Philip Winchester
42194,tt0327084,La gang del bosco,Over the Hedge,2006,2006-10-27,"Animation, Adventure, Comedy",83,USA,6.7,156530,80000000,6.7,156530,6.8,7.0,6.7,Bruce Willis,Tim Johnson,Bruce Willis
42219,tt0327597,Coraline e la porta magica,Coraline,2009,2009-06-19,"Animation, Drama, Family",100,USA,7.7,190867,60000000,7.7,190867,7.8,8.0,7.8,Dakota Fanning,Henry Selick,Dakota Fanning
42269,tt0328899,The Creature of the Sunny Side Up Trailer Park,The Creature of the Sunny Side Up Trailer Park,2006,2006-03-27,"Comedy, Horror, Mystery",105,USA,4.4,142,10000000,4.4,142,4.4,4.0,5.1,Fort Atkinson,Christopher Coppola,Fort Atkinson
42386,tt0331334,Satan's Playground,Satan's Playground,2006,2006-08-22,Horror,81,USA,3.3,861,1000000,3.3,861,3.4,2.0,3.1,Felissa Rose,Dante Tomaselli,Felissa Rose
42553,tt0337899,Broke Sky,Broke Sky,2007,2007,"Drama, Mystery, Thriller",97,USA,6.3,201,0,6.3,201,7.0,7.0,5.9,Will Wallace,Thomas L. Callaway,Will Wallace
42695,tt0339736,The Evil Within,The Evil Within,2017,2017-08-30,Horror,98,USA,5.5,2914,6000000,5.5,2914,5.7,6.0,5.8,Sean Patrick Flanery,Andrew Getty,Sean Patrick Flanery
42712,tt0340084,The Drop,The Drop,2006,2006-06-06,"Action, Adventure, Fantasy",88,USA,2.3,215,0,2.3,215,2.5,2.0,1.4,John Savage,Kevin Lewis,John Savage
42819,tt0343737,The Good Shepherd - L'ombra del potere,The Good Shepherd,2006,2007-04-20,"Drama, History, Thriller",167,USA,6.7,97190,110000000,6.7,97190,6.8,7.0,6.5,Matt Damon,Robert De Niro,Matt Damon
42852,tt0345228,Open Window,Open Window,2006,2006-09-01,Drama,97,USA,6.1,974,900000,6.1,974,6.3,6.0,6.3,Robin Tunney,Mia Goldman,Robin Tunney
42860,tt0345601,Machine,Machine,2007,2007-03-06,"Crime, Drama",90,USA,2.7,458,0,2.7,458,3.7,2.0,2.5,Michael Lazar,Michael Lazar,Michael Lazar
42885,tt0346631,Blood and Bone,Blood and Bone,2009,2009-09-20,"Action, Crime, Drama",93,USA,6.7,30815,3700000,6.7,30815,7.0,7.0,6.5,Michael Jai White,Ben Ramsey,Michael Jai White
42945,tt0348062,"So, You've Downloaded a Demon","So, You've Downloaded a Demon",2007,2007,"Comedy, Horror",90,USA,5.4,108,0,5.4,108,6.6,7.0,4.7,Casidee Riley,Todd Livingston,Casidee Riley
42949,tt0348150,Superman Returns,Superman Returns,2006,2006-09-01,"Action, Sci-Fi",154,USA,6.0,268239,270000000,6.0,268239,6.2,6.0,6.1,Brandon Routh,Bryan Singer,Brandon Routh
43003,tt0349467,Il colore del crimine,Freedomland,2006,2006-07-14,"Crime, Drama, Mystery",113,USA,5.1,15263,37665000,5.1,15263,5.1,5.0,5.4,Samuel L. Jackson,Joe Roth,Samuel L. Jackson
43106,tt0353248,Full Clip,Full Clip,2006,2006-03-23,"Action, Thriller",95,USA,3.2,473,1000000,3.2,473,3.8,3.0,3.7,Shaun Baker,mink,Shaun Baker
43154,tt0354578,Fighting Words,Fighting Words,2007,2010-03-02,"Drama, Romance",89,USA,4.6,197,2500000,4.6,197,7.7,10.0,4.8,C. Thomas Howell,E. Paul Edwards,C. Thomas Howell
43275,tt0357545,The Chosen One,The Chosen One,2007,2008,"Animation, Action, Comedy",79,USA,5.3,217,0,5.3,217,5.9,6.0,5.3,Chad Fifer,Chris Lackey,Chad Fifer
43277,tt0357668,Sky Kids,The Flyboys,2008,2008-08-15,"Action, Adventure, Drama",118,USA,6.9,3015,0,6.9,3015,7.3,7.0,6.9,Jesse James,Rocco DeVilliers,Jesse James
43363,tt0360323,Affari di sangue,10th & Wolf,2006,2007-04-12,"Crime, Drama, Thriller",107,USA,6.3,6051,8000000,6.3,6051,6.5,7.0,6.5,James Marsden,Bobby Moresco,James Marsden
43366,tt0360556,Fahrenheit 451,Fahrenheit 451,2018,2018-05-20,"Drama, Sci-Fi, Thriller",100,USA,4.9,16882,0,4.9,16882,4.9,5.0,5.1,Michael B. Jordan,Ramin Bahrani,Michael B. Jordan
43391,tt0361500,Delgo e il destino del mondo,Delgo,2008,2008-12-12,"Animation, Adventure, Comedy",94,USA,4.3,2840,40000000,4.3,2840,4.6,4.0,4.8,Freddie Prinze Jr.,Marc F. Adler,Freddie Prinze Jr.
43403,tt0361724,Kottentail,Kottentail,2007,2007-08-24,"Comedy, Horror",77,USA,3.8,220,0,3.8,220,5.3,5.0,3.4,Nathan Faudree,Tony Urban,Nathan Faudree
43408,tt0361852,Love Hollywood Style,Love Hollywood Style,2006,2006-04-01,"Comedy, Fantasy",89,USA,5.1,115,0,5.1,115,6.3,6.0,5.8,Michael Stein,Michael Stein,Michael Stein
43409,tt0361858,Lurking in Suburbia,Lurking in Suburbia,2006,2006-05-30,Comedy,87,USA,5.9,122,0,5.9,122,6.6,7.0,4.8,Joe Egender,Mitchell Altieri,Joe Egender
43420,tt0362120,Scary Movie 4,Scary Movie 4,2006,2006-04-21,"Comedy, Horror",83,USA,5.1,112056,45000000,5.1,112056,5.3,5.0,5.1,Anna Faris,David Zucker,Anna Faris
43439,tt0362478,The Box,The Box,2009,2010-07-21,"Drama, Fantasy, Mystery",115,USA,5.6,87997,30000000,5.6,87997,5.5,6.0,5.4,Cameron Diaz,Richard Kelly,Cameron Diaz
43476,tt0363240,Christmas on Mars,Christmas on Mars,2008,2008-05-24,"Music, Sci-Fi",83,USA,5.4,731,0,5.4,731,6.3,7.0,5.3,Steven Drozd,Wayne Coyne,Steven Drozd
43508,tt0363780,Lymelife,Lymelife,2008,2009-11-12,"Comedy, Drama, Romance",95,USA,6.9,13640,1500000,6.9,13640,7.6,8.0,6.9,Rory Culkin,Derick Martini,Rory Culkin
43556,tt0364745,Whirlygirl,Whirlygirl,2006,2007-03-06,"Drama, Romance",99,USA,5.7,1260,0,5.7,1260,6.1,6.0,5.9,Monet Mazur,Jim Wilson,Monet Mazur
43561,tt0364955,Art School Confidential - I segreti della scuola d'arte,Art School Confidential,2006,2006-05-12,"Comedy, Drama, Romance",102,USA,6.3,16512,0,6.3,16512,6.3,6.0,6.2,Max Minghella,Terry Zwigoff,Max Minghella
43612,tt0365880,Uncle P,Uncle P,2007,2007-06-26,Comedy,88,USA,3.4,477,1450000,3.4,477,4.6,4.0,4.2,Master P,Bernard Gourley,Master P
43614,tt0365907,La preda perfetta,A Walk Among the Tombstones,2014,2014-09-18,"Action, Crime, Drama",114,USA,6.5,110683,28000000,6.5,110683,6.6,7.0,6.5,Liam Neeson,Scott Frank,Liam Neeson
43686,tt0367027,Shortbus - Dove tutto è permesso,Shortbus,2006,2006-12-01,"Comedy, Drama",101,USA,6.4,31577,2000000,6.4,31577,6.8,7.0,6.7,Paul Dawson,John Cameron Mitchell,Paul Dawson
43733,tt0367882,Indiana Jones e il regno del teschio di cristallo,Indiana Jones and the Kingdom of the Crystal Skull,2008,2008-05-23,"Action, Adventure",122,USA,6.1,417120,185000000,6.1,417120,6.2,6.0,6.3,Harrison Ford,Steven Spielberg,Harrison Ford
43822,tt0369610,Jurassic World,Jurassic World,2015,2015-06-11,"Action, Adventure, Sci-Fi",124,USA,7.0,569512,150000000,7.0,569512,7.1,7.0,7.3,Chris Pratt,Colin Trevorrow,Chris Pratt
43837,tt0370032,Ultraviolet,Ultraviolet,2006,2006-06-16,"Action, Sci-Fi",88,USA,4.4,78768,30000000,4.4,78768,4.6,5.0,4.9,Milla Jovovich,Kurt Wimmer,Milla Jovovich
43905,tt0372005,The Devil's Muse,The Devil's Muse,2007,2008,"Crime, Drama, Horror",99,USA,3.9,285,79000,3.9,285,5.5,5.0,3.5,Kristen Kerr,Ramzi Abed,Kristen Kerr
43947,tt0372975,Holla,Holla,2006,2006-12-01,Horror,86,USA,3.4,197,200000,3.4,197,5.2,4.0,3.1,Shelli Boone,H.M. Coakley,Shelli Boone
43951,tt0373051,Viaggio al centro della Terra,Journey to the Center of the Earth,2008,2009-01-16,"Action, Adventure, Family",93,USA,5.8,111377,60000000,5.8,111377,6.0,6.0,6.2,Brendan Fraser,Eric Brevig,Brendan Fraser
43958,tt0373263,Red Is the Color of,Red Is the Color of,2007,2007-09-16,"Comedy, Drama, Romance",87,USA,4.9,232,0,4.9,232,5.5,5.0,5.0,Irina Björklund,Anne Norda,Irina Björklund
43983,tt0373883,Halloween - The Beginning,Halloween,2007,2008-01-04,Horror,109,USA,6.1,107123,15000000,6.1,107123,6.2,6.0,6.1,Malcolm McDowell,Rob Zombie,Malcolm McDowell
43985,tt0373900,Rampage: The Hillside Strangler Murders,Rampage: The Hillside Strangler Murders,2006,2006-01-10,"Crime, Drama, Thriller",85,USA,4.3,764,1000000,4.3,764,4.6,4.0,3.8,Joleigh Fiore,Chris Fisher,Joleigh Fiore
44043,tt0374718,Home Sick,Home Sick,2007,2007-06-14,Horror,89,USA,4.8,560,0,4.8,560,5.4,5.0,5.4,Lindley Praytor,Adam Wingard,Lindley Praytor
44066,tt0375195,The Deep Below,The Deep Below,2007,2007-03-13,"Adventure, Thriller",85,USA,4.0,130,0,4.0,130,5.0,5.0,4.9,Jason Dohring,Rod Slane,Jason Dohring
44086,tt0375785,"Fratelli, amori e tanti guai",Gray Matters,2006,2007-07-13,"Comedy, Romance",96,USA,5.8,6760,0,5.8,6760,6.0,6.0,5.9,Heather Graham,Sue Kramer,Heather Graham
44155,tt0377061,I'll Believe You,I'll Believe You,2006,2006-11-11,"Comedy, Sci-Fi",82,USA,5.6,399,0,5.6,399,6.4,6.0,6.3,David Alan Basche,Paul Francis Sullivan,David Alan Basche
44174,tt0377320,A-List,A-List,2006,2006-04-27,"Comedy, Drama",98,USA,5.9,1133,0,5.9,1133,7.0,8.0,7.1,Sally Kirkland,Shira-Lee Shalit,Sally Kirkland
44374,tt0381341,Kisses and Caroms,Kisses and Caroms,2006,2006-08-22,Comedy,81,USA,4.4,1293,0,4.4,1293,5.3,5.0,3.7,Nicole Rayburn,Vincent Rocca,Nicole Rayburn
44402,tt0381849,Quel treno per Yuma,3:10 to Yuma,2007,2007-10-19,"Action, Crime, Drama",122,USA,7.7,284071,55000000,7.7,284071,7.8,8.0,7.7,Russell Crowe,James Mangold,Russell Crowe
44446,tt0382579,Boppin' at the Glue Factory,Boppin' at the Glue Factory,2009,2009,"Comedy, Drama",82,USA,6.1,100,0,6.1,100,7.0,7.0,6.3,Henry Dittman,Jeff Orgill,Henry Dittman
44479,tt0382932,Ratatouille,Ratatouille,2007,2007-10-17,"Animation, Adventure, Comedy",111,USA,8.0,624762,150000000,8.0,624762,8.0,8.0,8.0,Patton Oswalt,Brad Bird,Patton Oswalt
44487,tt0383010,I tre marmittoni,The Three Stooges,2012,2012-06-27,"Comedy, Family",92,USA,5.1,29609,30000000,5.1,29609,5.4,6.0,4.9,Sean Hayes,Bobby Farrelly,Sean Hayes
44490,tt0383028,"Synecdoche, New York","Synecdoche, New York",2008,2014-06-19,Drama,124,USA,7.6,79732,20000000,7.6,79732,7.6,8.0,7.3,Philip Seymour Hoffman,Charlie Kaufman,Philip Seymour Hoffman
44492,tt0383060,Zoom,Zoom,2006,2006-08-11,"Action, Adventure, Comedy",93,USA,4.4,18613,35000000,4.4,18613,4.6,4.0,5.1,Tim Allen,Peter Hewitt,Tim Allen
44505,tt0383478,Love Comes to the Executioner,Love Comes to the Executioner,2006,2006-08-15,"Comedy, Drama, Romance",89,USA,5.5,851,0,5.5,851,6.1,6.0,5.9,Jonathan Tucker,Kyle Bergersen,Jonathan Tucker
44510,tt0383574,Pirati dei Caraibi - La maledizione del forziere fantasma,Pirates of the Caribbean: Dead Man's Chest,2006,2006-09-13,"Action, Adventure, Fantasy",151,USA,7.3,644330,225000000,7.3,644330,7.5,7.0,7.5,Johnny Depp,Gore Verbinski,Johnny Depp
44521,tt0383929,Black August,Black August,2007,2007-08-01,Drama,116,USA,6.4,269,1500000,6.4,269,6.6,7.0,6.5,Gary Dourdan,Samm Styles,Gary Dourdan
44552,tt0384683,What We Do Is Secret,What We Do Is Secret,2007,2008-08-08,"Biography, Drama, Music",92,USA,6.4,1765,0,6.4,1765,6.8,7.0,6.8,Shane West,Rodger Grossman,Shane West
44557,tt0384793,Ammesso,Accepted,2006,2006-08-18,Comedy,93,USA,6.4,121619,23000000,6.4,121619,6.6,7.0,6.4,Justin Long,Steve Pink,Justin Long
44558,tt0384798,Aimee Semple McPherson,Aimee Semple McPherson,2006,2006-01-01,"Biography, Drama",110,USA,4.9,122,5000,4.9,122,6.8,8.0,4.8,Mimi Michaels,Richard Rossi,Mimi Michaels
44586,tt0385543,Bell Witch: The Movie,Bell Witch: The Movie,2007,2007-09-01,"Drama, Horror",99,USA,3.9,159,3500000,3.9,159,5.5,5.0,3.8,Betsy Palmer,Shane Marr,Betsy Palmer
44604,tt0385726,Glory Road - Vincere cambia tutto,Glory Road,2006,2006-08-04,"Biography, Drama, Sport",118,USA,7.2,42333,0,7.2,42333,7.4,7.0,7.4,Josh Lucas,James Gartner,Josh Lucas
44618,tt0385880,Monster House,Monster House,2006,2006-10-13,"Animation, Comedy, Family",91,USA,6.6,97611,75000000,6.6,97611,6.7,7.0,6.6,Ryan Whitney Angel,Gil Kenan,Ryan Whitney Angel
44619,tt0385887,Motherless Brooklyn - I segreti di una città,Motherless Brooklyn,2019,2019-11-07,"Crime, Drama, Mystery",144,USA,6.8,34759,26000000,6.8,34759,6.9,7.0,6.9,Edward Norton,Edward Norton,Edward Norton
44628,tt0385988,Cappuccetto rosso,Red Riding Hood,2006,2007-02-07,"Adventure, Family, Musical",82,USA,3.5,1030,1600000,3.5,1030,4.1,3.0,3.9,Lainie Kazan,Randal Kleiser,Lainie Kazan
44708,tt0387808,Idiocracy,Idiocracy,2006,2007-08-03,"Adventure, Comedy, Sci-Fi",84,USA,6.6,141873,0,6.6,141873,6.7,7.0,6.5,Luke Wilson,Mike Judge,Luke Wilson
44733,tt0388182,Alla scoperta di Charlie,King of California,2007,2008-05-16,"Comedy, Drama",93,USA,6.6,21912,10000000,6.6,21912,6.8,7.0,6.6,Michael Douglas,Mike Cahill,Michael Douglas
44795,tt0389328,La setta delle tenebre,Rise,2007,2008-05-23,"Action, Crime, Horror",97,USA,4.9,11251,0,4.9,11251,5.2,5.0,5.0,Robert Forster,Sebastian Gutierrez,Robert Forster
44798,tt0389360,Sea of Fear,Sea of Fear,2006,2006-08-22,Horror,90,USA,2.6,573,2000000,2.6,573,3.1,2.0,2.8,Edward Albert,Andrew Schuth,Edward Albert
44817,tt0389860,Cambia la tua vita con un click,Click,2006,2006-09-29,"Comedy, Drama, Fantasy",107,USA,6.4,300363,82500000,6.4,300363,6.6,7.0,6.2,Adam Sandler,Frank Coraci,Adam Sandler
44858,tt0390528,Swarm of the Snakehead,Swarm of the Snakehead,2006,2016-07-01,"Comedy, Horror, Sci-Fi",95,USA,3.5,150,0,3.5,150,4.7,4.0,3.7,Jamie Linck O'Brien,Frank Lama,Jamie Linck O'Brien
44869,tt0391095,Dreamland,Dreamland,2007,2007-02-27,"Sci-Fi, Horror, Mystery",77,USA,3.7,1063,0,3.7,1063,5.2,5.0,3.5,Jackie Kreisler,James P. Lay,Jackie Kreisler
44874,tt0391229,I Want Someone to Eat Cheese With,I Want Someone to Eat Cheese With,2006,2006-04-28,"Comedy, Romance",80,USA,6.1,3197,1500000,6.1,3197,6.3,6.0,5.6,Jeff Garlin,Jeff Garlin,Jeff Garlin
44907,tt0392878,News Movie,The Onion Movie,2008,2008-01-07,Comedy,86,USA,6.2,15283,0,6.2,15283,6.4,7.0,6.1,Daniel Chacón,Tom Kuntz,Daniel Chacón
44911,tt0393049,Anderson's Cross,Anderson's Cross,2010,2010-05-20,"Comedy, Drama, Romance",98,USA,5.1,109,300000,5.1,109,7.1,8.0,5.4,Michael Warren,Jerome Elston Scott,Michael Warren
44916,tt0393297,Forget About It,Forget About It,2006,2006-10-14,"Comedy, Drama",88,USA,4.7,608,4000000,4.7,608,5.9,5.0,4.7,Burt Reynolds,BJ Davis,Burt Reynolds
44928,tt0393567,Fuga dall'Inferno - L'altra dimensione dell'amore,The Other Side,2006,2006-01-01,"Action, Thriller",92,USA,5.2,1399,15000,5.2,1399,5.6,6.0,5.4,Nathan Mobley,Gregg Bishop,Nathan Mobley
44933,tt0393735,Shaggy Dog - Papà che abbaia... non morde,The Shaggy Dog,2006,2006-06-08,"Comedy, Family, Fantasy",98,USA,4.4,17990,50000000,4.4,17990,4.6,5.0,4.8,Tim Allen,Brian Robbins,Tim Allen
44939,tt0393939,Vegas Vampires,Vegas Vampires,2007,2007-02-27,Horror,89,USA,2.1,275,0,2.1,275,2.8,2.0,2.0,Jude Angelini,Fred Williamson,Jude Angelini
44941,tt0393956,Viva,Viva,2007,2008-05-02,"Comedy, Drama, Musical",120,USA,6.0,1048,0,6.0,1048,6.3,6.0,6.5,Anna Biller,Anna Biller,Anna Biller
44955,tt0395495,"Se proprio lo vuoi, lascialo andare",Catch and Release,2006,2007-01-26,"Comedy, Drama, Romance",124,USA,6.0,23582,25000000,6.0,23582,6.2,6.0,6.3,Jennifer Garner,Susannah Grant,Jennifer Garner
45002,tt0396555,I Robinson - Una famiglia spaziale,Meet the Robinsons,2007,2007-06-08,"Animation, Adventure, Comedy",95,USA,6.8,85515,150000000,6.8,85515,7.0,7.0,7.3,Angela Bassett,Stephen J. Anderson,Angela Bassett
45033,tt0397078,Baciati dalla sfortuna,Just My Luck,2006,2006-07-07,"Comedy, Fantasy, Romance",108,USA,5.4,52962,28000000,5.4,52962,5.7,6.0,5.5,Lindsay Lohan,Donald Petrie,Lindsay Lohan
45036,tt0397105,Dirty Work,Dirty Work,2006,2006-09-12,Thriller,97,USA,5.3,265,0,5.3,265,5.8,6.0,5.7,Lance Reddick,Bruce Terris,Lance Reddick
45039,tt0397313,8 amici da salvare,Eight Below,2006,2006-03-31,"Adventure, Drama, Family",120,USA,7.3,59899,40000000,7.3,59899,7.6,8.0,7.6,Paul Walker,Frank Marshall,Paul Walker
45065,tt0397892,Bolt - Un eroe a quattro zampe,Bolt,2008,2008-11-28,"Animation, Adventure, Comedy",96,USA,6.8,185896,150000000,6.8,185896,6.9,7.0,6.9,John Travolta,Byron Howard,John Travolta
45080,tt0398286,Rapunzel: L'intreccio della torre,Tangled,2010,2010-11-26,"Animation, Adventure, Comedy",100,USA,7.7,396086,260000000,7.7,396086,7.9,8.0,8.1,Mandy Moore,Nathan Greno,Mandy Moore
45094,tt0398808,Un ponte per Terabithia,Bridge to Terabithia,2007,2007-03-30,"Drama, Family, Fantasy",96,USA,7.1,140410,17000000,7.1,140410,7.3,7.0,7.3,Josh Hutcherson,Gabor Csupo,Josh Hutcherson
45097,tt0398839,Cattle Call,Cattle Call,2006,2008-05-13,Comedy,83,USA,3.7,1096,2625000,3.7,1096,4.1,4.0,3.2,Thomas Ian Nicholas,Martin Guigui,Thomas Ian Nicholas
45098,tt0398842,The Celestine Prophecy,The Celestine Prophecy,2006,2006-07-20,"Adventure, Drama",99,USA,4.9,3557,10000000,4.9,3557,5.4,5.0,5.4,Matthew Settle,Armand Mastroianni,Matthew Settle
45113,tt0399110,Grad Night,Grad Night,2006,2006-09-09,"Comedy, Drama",89,USA,1.7,620,500000,1.7,620,2.7,1.0,1.5,Coolio,Michael T. Fitzgerald Jr.,Coolio
45175,tt0400717,Boog & Elliot a caccia di amici,Open Season,2006,2006-12-07,"Animation, Adventure, Comedy",86,USA,6.1,84628,85000000,6.1,84628,6.2,6.0,6.3,Martin Lawrence,Roger Allers,Martin Lawrence
45206,tt0401449,Greed,Greed,2006,2006-02-28,"Action, Horror, Thriller",93,USA,3.5,361,0,3.5,361,3.9,3.0,4.3,Jason London,Ron Wolotzky,Jason London
45218,tt0401729,John Carter,John Carter,2012,2012-03-07,"Action, Adventure, Sci-Fi",132,USA,6.6,251828,250000000,6.6,251828,6.8,7.0,6.7,Taylor Kitsch,Andrew Stanton,Taylor Kitsch
45225,tt0401997,Breach - L'infiltrato,Breach,2007,2007-05-18,"Biography, Crime, Drama",110,USA,7.0,57067,0,7.0,57067,7.1,7.0,7.0,Chris Cooper,Billy Ray,Chris Cooper
45260,tt0402743,Abominable,Abominable,2006,2006-04-10,"Horror, Sci-Fi, Thriller",94,USA,5.1,4073,0,5.1,4073,5.3,5.0,5.2,Matt McCoy,Ryan Schifrin,Matt McCoy
45269,tt0402904,Massacro al cimitero,Cemetery Gates,2006,2006-05-30,"Horror, Action, Sci-Fi",92,USA,3.5,1084,930000,3.5,1084,3.9,3.0,3.1,Reggie Bannister,Roy Knyrim,Reggie Bannister
45274,tt0403057,Gardener of Eden - Il giustiziere senza legge,Gardener of Eden,2007,2008-06-20,"Comedy, Drama",88,USA,6.1,955,5000000,6.1,955,6.9,7.0,5.9,Lukas Haas,Kevin Connolly,Lukas Haas
45276,tt0403085,Green River,Green River,2008,2008-05-08,"Crime, Drama, Thriller",90,USA,3.0,241,0,3.0,241,3.8,3.0,3.2,Kristina Hughes,Sam Taybi,Kristina Hughes
45304,tt0403598,Think Tank,Think Tank,2006,2006-04-21,Comedy,96,USA,2.9,178,0,2.9,178,4.7,3.0,2.0,Eric Artell,Brian Petersen,Eric Artell
45308,tt0403702,Youth in Revolt,Youth in Revolt,2009,2010-01-08,"Comedy, Drama, Romance",90,USA,6.4,71895,18000000,6.4,71895,6.5,7.0,6.2,Michael Cera,Miguel Arteta,Michael Cera
45314,tt0403946,Cloud 9,Cloud 9,2006,2006-01-03,"Comedy, Sport",93,USA,4.2,1120,0,4.2,1120,4.5,4.0,4.1,Burt Reynolds,Harry Basil,Burt Reynolds
