,imdb_title_id,title,original_title,year,date_published,genre,duration,country,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,lead_director,lead_writer,actor_number,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
8199,tt6408226,Newness,Newness,2017,2017-11-03,"Drama, Romance",117,USA,6.4,12827,0,6.4,12827,6.5,7.0,6.6,Nicholas Hoult,Drake Doremus,Nicholas Hoult,465,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8200,tt3362238,Bad Frank,Bad Frank,2017,2017-07-03,"Drama, Thriller",103,USA,5.0,595,0,5.0,595,5.2,5.0,5.4,Kevin Interdonato,Tony Germinario,Kevin Interdonato,2878,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8201,tt3362908,Kruel,Kruel,2015,2015-05-29,"Horror, Thriller",96,USA,4.0,393,2000000,4.0,393,4.4,4.0,4.1,Kierney Nelson,Robert Henderson,Kierney Nelson,2796,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8202,tt3363912,The Arroyo,The Arroyo,2014,2014-01-20,Drama,90,USA,6.1,260,0,6.1,260,6.8,7.0,5.9,Kenny Maines,Jeremy Danial Boreing,Kenny Maines,5653,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8203,tt3365338,Antisocial Behavior,Antisocial Behavior,2014,2014-01-17,Horror,86,USA,4.3,226,0,4.3,226,4.9,4.0,4.5,Jackson Kuehn,Kenneth Guertin,Jackson Kuehn,6617,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8204,tt3369350,Bad Hurt,Bad Hurt,2015,2016-02-12,Drama,101,USA,5.9,363,0,5.9,363,6.4,6.0,6.0,Karen Allen,Mark Kemble,Karen Allen,479,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8205,tt4068586,Year by the Sea,Year by the Sea,2016,2017-09-08,"Comedy, Drama, Romance",114,USA,5.2,172,0,5.2,172,6.0,6.0,5.9,Karen Allen,Alexander Janko,Karen Allen,479,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8206,tt9275046,Colewell,Colewell,2019,2019-04-13,Drama,79,USA,6.2,319,0,6.2,319,6.4,7.0,6.1,Karen Allen,Tom Quinn,Karen Allen,479,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8207,tt3369624,Killer Rack,Killer Rack,2015,2015,"Comedy, Horror, Musical",90,USA,5.5,144,45000,5.5,144,6.2,7.0,5.2,Jessica Zwolak,Gregory Lamberson,Jessica Zwolak,5050,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
8208,tt3373410,Troy: The Resurrection of Aeneas,Troy: The Resurrection of Aeneas,2018,2018-05-11,"Animation, Action, Adventure",60,USA,1.1,117,0,1.1,117,1.7,1.0,1.2,Aeneas Middleton,Aeneas Middleton,Aeneas Middleton,1764,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8209,tt3374816,Wild in Blue,Wild in Blue,2015,2015-05-24,"Romance, Thriller",82,USA,4.6,817,0,4.6,817,5.5,6.0,6.0,Frank Cermak Jr.,Matthew Berkowitz,Frank Cermak Jr.,3286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
8210,tt3377798,The Library,The Library,2013,2013-05-17,Sci-Fi,70,USA,3.6,272,5000,3.6,272,4.3,3.0,4.2,Julia Gregorio,Joseph Ciminera,Julia Gregorio,2477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8211,tt3378000,666: Kreepy Kerry,666: Kreepy Kerry,2014,2014-04-02,Horror,75,USA,2.3,131,1000000,2.3,131,2.6,1.0,2.7,Conner Sorensen,David DeCoteau,Conner Sorensen,2845,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
