,year,duration,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,month,production_number,lead_number,support_number,director_number,writer_number
24,2017,132,3.6,191,0,3.6,191,1.5,1.0,06,4240,1835,5,0,0
25,2009,116,7.1,258,0,7.1,258,7.3,8.0,08,0,6393,89,0,0
26,2011,112,7.0,114,0,7.0,114,7.1,8.0,08,100,89,12,0,0
27,2012,110,7.6,301,0,7.6,301,7.8,8.0,10,100,89,12,0,0
28,2013,107,6.0,128,0,6.0,128,6.5,7.5,12,100,89,12,0,0
29,2014,136,6.1,110,0,6.1,110,6.8,8.0,08,100,89,12,0,0
30,2014,120,6.1,121,0,6.1,121,6.8,8.0,10,100,89,12,0,0
31,2017,92,5.4,122,0,5.4,122,5.8,7.0,0,0,5,5,3918,0
32,2012,62,8.3,10514,0,8.3,10514,8.2,9.0,05,4524,5,5,3258,0
33,2018,72,7.2,120,0,7.2,120,7.1,7.0,02,1070,5,5,4483,0
34,2017,63,6.9,588,0,6.9,588,6.9,7.0,06,3186,5,5,6017,0
35,2018,69,6.9,118,0,6.9,118,6.9,7.0,12,5289,5,5,6146,0
36,2015,59,4.3,224,0,4.3,224,4.4,4.5,12,17,1146,5,5101,0
