,imdb_title_id,title,original_title,year,date_published,genre,duration,country,production_company,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,lead_director,lead_writer,month,production_number,actor_number,director_number,writer_number
22,tt7399124,Illusions,Illusions,2017,2017,"Mystery, Sci-Fi, Thriller",92,USA,0,5.4,122,0,5.4,122,5.8,7.0,5.8,0,Emiliano Galigani,0,0,0,5,3967,0
23,tt2396224,It's Such a Beautiful Day,It's Such a Beautiful Day,2012,2016-05-21,"Animation, Comedy, Drama",62,USA,Bitter Films,8.3,10514,0,8.3,10514,8.2,9.0,8.2,0,Don Hertzfeldt,0,05,4524,5,3359,0
24,tt7493854,Everything Is Terrible! Presents: The Great Satan,Everything Is Terrible! Presents: The Great Satan,2018,2018-02-07,"Comedy, Fantasy, Horror",72,USA,Everything is Terrible,7.2,120,0,7.2,120,7.1,7.0,8.6,0,Lehr Beidelschies,0,02,1070,5,4552,0
25,tt6736812,The Green Fog,The Green Fog,2017,2018-06-07,Mystery,63,USA,Extra Large Productions,6.9,588,0,6.9,588,6.9,7.0,7.1,0,Evan Johnson,0,06,3186,5,5925,0
26,tt7569660,Don't Be a Dick About It,Don't Be a Dick About It,2018,2019-12-20,Comedy,69,USA,Whitelist,6.9,118,0,6.9,118,6.9,7.0,7.4,0,Ben Mullinkosson,0,12,5289,5,6097,0
27,tt4475176,Prey for Death,Prey for Death,2015,2015-08-04,Western,80,USA,iDiC Entertainment,2.9,153,0,2.9,153,3.9,3.0,4.8,Connor Trinneer,Rene Perez,0,08,92,4479,3,0
28,tt11316854,Gabriel's Inferno,Gabriel's Inferno,2020,2020-05-29,Romance,122,USA,Passionflix,6.2,1561,0,6.2,1561,7.7,9.0,6.8,Melanie Zanetti,Tosca Musk,0,05,220,2743,71,0
29,tt1572773,God of Vampires,God of Vampires,2010,2010-05-04,Horror,144,USA,0,4.0,117,0,4.0,117,4.5,4.0,3.2,Jayson Argento,Rob Fitz,0,05,0,4034,1424,0
30,tt1702016,We the Party,We the Party,2012,2012-04-06,Comedy,105,USA,0,4.2,767,0,4.2,767,5.6,6.0,4.7,Mandela Van Peebles,Mario Van Peebles,0,04,0,2423,115,0
31,tt2190221,Cinematic Titanic: War of the Insects,Cinematic Titanic: War of the Insects,2011,2011-12-02,Comedy,86,USA,0,7.3,130,0,7.3,130,7.2,8.0,5.7,Trace Beaulieu,Tim Ford,0,12,0,501,695,0
32,tt6644286,Space Babes from Outer Space,Space Babes from Outer Space,2017,2017-05-20,"Comedy, Sci-Fi",81,USA,Bandit Motion Pictures,4.2,435,0,4.2,435,5.1,5.0,4.8,Ellie Church,Brian K. Williams,0,05,373,287,1275,0
33,tt8947488,The Blackwell Ghost 2,The Blackwell Ghost 2,2018,2018-08-04,Horror,68,USA,0,5.6,214,0,5.6,214,6.0,6.0,6.4,Turner Clay,Turner Clay,0,08,0,1716,533,0
34,tt4040616,30 Days in Atlanta,30 Days in Atlanta,2014,2014-10-30,Comedy,111,USA,0,5.8,111,0,5.8,111,7.2,8.0,6.6,Ayemere Caleb,Robert Peters,0,10,0,5178,6980,0
35,tt5062072,Chasing Pavement,Chasing Pavement,2015,2015-08-01,Drama,82,USA,0,5.0,115,22000,5.0,115,5.2,5.0,4.2,Remy Mars,Matthew Doyle,0,08,0,6744,6688,0
36,tt7165212,Una collega pericolosa,The Work Wife,2018,2018-12-28,Crime,86,USA,Feifer Worldwide,3.9,198,14000000,3.9,198,4.8,4.0,3.0,Cerina Vincent,Michael Feifer,0,12,35,2060,4,0
37,tt6588838,Hesperia,Hesperia,2019,2019-03-24,"Crime, Drama, Thriller",80,USA,0,4.5,157,0,4.5,157,5.9,7.0,5.0,Germain Arroyo,Steve Helgoth,0,03,0,2783,4981,0
38,tt7521846,Badder Ben: The Final Chapter,Badder Ben: The Final Chapter,2017,2017-10-01,Horror,85,USA,Nigel Bach Productions,4.4,371,0,4.4,371,4.7,5.0,4.7,Jacquie Baker,Nigel Bach,0,10,1013,1732,238,0
39,tt7935892,The Oscar Nominated Short Films 2018: Live Action,The Oscar Nominated Short Films 2018: Live Action,2018,2018-02-09,"Action, Drama",96,USA,0,7.8,199,0,7.8,199,7.7,8.0,8.0,Kobe Bryant,Max Porter,0,02,0,4088,1903,0
